name,station,owner,duid,connection_id,connection_voltage,generator_classification,market_generator,schedule_type,updated_on,position,region,fuel_source_primary,fuel_source_secondary,tech_type_primary,tech_type_secondary,marker_type,reg_cap,max_cap,mlf_11,mlf_12,mlf_13,mlf_14,mlf_15,mlf_16,mlf_17,mlf_18,mlf_19,mlf_20
Cethana PS,CETHANA,Hydro-Electric Corporation,CETHANA,TCE11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.48016409045894,""lng"":146.13277545665827}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,85,100,0.9767,0.9698,0.9668,0.9676,0.9593,0.9671,0.9723,0.963,0.9628, 0.9658 
Wilmot PS,LEM_WIL,Hydro-Electric Corporation,LEM_WIL,TSH11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.483243130512946,""lng"":146.12497852712394}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,81.6,86,0.983,0.9768,0.9746,0.9752,0.9683,0.9746,0.9749,0.9711,0.9701, 0.9716 
Reece PS,REECE,Hydro-Electric Corporation,REECE1,TRCA1,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.72340825472537,""lng"":145.13476847626563}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,115.6,119,0.955,0.9451,0.9348,0.94,0.9315,0.9425,0.9413,0.9399,0.935, 0.9410 
Reece PS,REECE,Hydro-Electric Corporation,REECE2,TRCB1,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.72340825472537,""lng"":145.13476847626563}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,115.6,119,0.9539,0.9396,0.9365,0.9376,0.9319,0.9426,0.939,0.9402,0.9264, 0.9351 
Lemonthyme PS,LEM_WIL,Hydro-Electric Corporation,LEM_WIL,TSH11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.60332569261916,""lng"":146.1405723861926}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,81.6,86,0.983,0.9768,0.9746,0.9752,0.9683,0.9746,0.9749,0.9711,0.9701, 0.9716 
Fisher PS,FISHER,Hydro-Electric Corporation,FISHER,TFI11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.67414361386128,""lng"":146.26922172350882}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,43.2,46,0.9795,0.9735,0.9717,0.9729,0.9645,0.9701,0.9755,0.9671,0.966, 0.9688 
Rowallan PS,ROWALLAN,Hydro-Electric Corporation,ROWALLAN,TFI12,220,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-41.72956633483338,""lng"":146.21854168153575}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,10.5,11,0.9795,0.9735,0.9717,0.9729,0.9645,0.9701,0.9755,0.9671,0.966, 0.9688 
Mackintosh PS,MACKNTSH,Hydro-Electric Corporation,MACKNTSH,TMA11,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.701854974347334,""lng"":145.64546736076343}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,79.9,89,0.9519,0.941,0.927,0.937,0.9296,0.9381,0.9367,0.9402,0.9282, 0.9347 
Bastyan PS,BASTYAN,Hydro-Electric Corporation,BASTYAN,TFA11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.73572441494139,""lng"":145.53241188251582}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,79.9,88,0.9618,0.9516,0.9436,0.9478,0.9396,0.9466,0.9496,0.9486,0.941, 0.9456 
Tribute PS,TRIBUTE,Hydro-Electric Corporation,TRIBUTE,TTI11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.81270041629153,""lng"":145.65326429029773}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,82.8,92,0.9564,0.9391,0.9378,0.9397,0.9339,0.9421,0.9437,0.9466,0.9377, 0.9401 
